"CODE";"FR";"CODE_light";"niveau";"genealogieCode";"genealogieLabel"
"30233151-4";"Lecteur et/ou graveur de CD";"30233151";8;"3|302|3023|30233|302331|3023315";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Matériel et fournitures informatiques|Matériel informatique|Unités de mémoire et de lecture|Unités de mémoire|Unités de disque optique"
"30233152-1";"Lecteur et/ou graveur de DVD";"30233152";8;"3|302|3023|30233|302331|3023315";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Matériel et fournitures informatiques|Matériel informatique|Unités de mémoire et de lecture|Unités de mémoire|Unités de disque optique"
"30233153-8";"Lecteur et/ou graveur de CD et de DVD";"30233153";8;"3|302|3023|30233|302331|3023315";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Matériel et fournitures informatiques|Matériel informatique|Unités de mémoire et de lecture|Unités de mémoire|Unités de disque optique"
"30233160-0";"Dérouleurs en continu";"3023316";7;"3|302|3023|30233|302331";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Matériel et fournitures informatiques|Matériel informatique|Unités de mémoire et de lecture|Unités de mémoire"
"30233161-7";"Matériel de manipulation de cassettes";"30233161";8;"3|302|3023|30233|302331|3023316";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Matériel et fournitures informatiques|Matériel informatique|Unités de mémoire et de lecture|Unités de mémoire|Dérouleurs en continu"
"30233170-3";"Carrousels";"3023317";7;"3|302|3023|30233|302331";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Matériel et fournitures informatiques|Matériel informatique|Unités de mémoire et de lecture|Unités de mémoire"
"30233180-6";"Dispositifs de stockage à mémoire flash";"3023318";7;"3|302|3023|30233|302331";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Matériel et fournitures informatiques|Matériel informatique|Unités de mémoire et de lecture|Unités de mémoire"
"30233190-9";"Contrôleur de disques";"3023319";7;"3|302|3023|30233|302331";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Matériel et fournitures informatiques|Matériel informatique|Unités de mémoire et de lecture|Unités de mémoire"
"30233300-4";"Lecteurs de cartes à puce";"302333";6;"3|302|3023|30233";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Matériel et fournitures informatiques|Matériel informatique|Unités de mémoire et de lecture"
"30233310-7";"Lecteurs d'empreintes digitales";"3023331";7;"3|302|3023|30233|302333";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Matériel et fournitures informatiques|Matériel informatique|Unités de mémoire et de lecture|Lecteurs de cartes à puce"
"30233320-0";"Lecteurs combinés de cartes à puces et d'empreintes digitales";"3023332";7;"3|302|3023|30233|302333";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Matériel et fournitures informatiques|Matériel informatique|Unités de mémoire et de lecture|Lecteurs de cartes à puce"
"30234000-8";"Supports de mémoire";"30234";5;"3|302|3023";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Matériel et fournitures informatiques|Matériel informatique"
